Id,Original Sentence,Corrected Sentence
488,Evde yemek yapımak için ve eve bakmak için çok vakit kaybedeceksin.,Evde yemek yapmak için ve eve bakmak için çok vakit kaybedeceksin.
432,"Kente alışınca, düşüncelerine göre seneye karar verebilirsin.",Kente alışınca düşüncelerine göre seneye karar verebilirsin.
456,"Bir gün ise fark edince yıllar geçmiş, biz ise sanki bir yerde, bir dönemde donakalmışız.","Bir gün ise fark ediyoruz ki yıllar geçmiş, biz ise sanki bir yerde, bir dönemde donakalmışız."
391,Ben arkadaşıma yeter ki iyi bir şekilde çalış ve sabırlı ol sonunda mutlaka başarılı olacaksın ama sakın unutma başırlı olacağın zaman kibirli olma çünkü herkes senden neferet edecek.,"Ben arkadaşıma ""Yeter ki iyi bir şekilde çalış ve sabırlı ol, sonunda mutlaka başarılı olacaksın ama sakın unutma, başarılı olacağın zaman kibirli olma çünkü herkes senden neferet edecek."""
399,Son zamanlarında Amerika çok güçlüdür.,Son zamanlarda Amerika çok güçlüdür.
499,e-postanızı ben okudum ve işçilerimizin davranışı için bizden affetmek istiyorum.,e-postanızı   okudum ve işçilerimizin davranışından dolayı bizi affetmenizi istiyorum.
409,"onları takıp eder, ondan örnek alır.","Onları takip eder, onlardan örnek alır."
394,Ama aç olan insanlara için onlar çok mutlu etti.,"Ama bu, aç olan insanları     çok mutlu etti."
468,Biz bunun etkisi hayatın her bölümunde bakabiliriz.,Biz bunun etkisini hayatın her alanında görebiliriz.
484,"Örneği, bazı başka ülkeler hakkında kitaplar okur ama onların gerçek hayatı nasıl olacağını hâlâ bilmiyor ve kitaptaki mümkün yanlış yazıldı.","Örneğin, bazıları başka ülkeler hakkında kitaplar okur ama oradaki gerçek hayatın nasıl olduğunu hâlâ bilmiyor, kitapta yazılanların da yanlış olma ihtimali var."
431,Sonuç olarak diyebilirimki dil öğrenmemiz lazım ve çocuklarımızada farklı dilleri öğrenmelerini tevsiye etmemiz gerekyor.,Sonuç olarak diyebilirim ki dil öğrenmemiz lazım ve çocuklarımıza da farklı dilleri öğrenmelerini tavsiye etmemiz gerekiyor.
448,Bunun gibi söyleyebiliz.,Bunun gibi bir şey diyebiliriz.
407,Şans kelimesi olumlu anlamda kullandığı gibi olumsuz anlamda da kullanılır.,Şans kelimesi olumlu anlamda kullanıldığı gibi olumsuz anlamda da kullanılır.
472,Bana kalırsa ʺYaratıcı Mimarlık Üniversitesiʺ tercih ediyorum.,Bana kalırsa Yaratıcı Mimarlık Üniversitesini tercih ederim.
455,"Hayatta Para Arasında Seçim Yapanlar Para kazanmak, yüz yıllardır insanoğlunun en büyük dertleri arasında yer almaktadır.","Hayatla Para Arasında Seçim Yapanlar Para kazanmak, yüzyıllardır insanoğlunun en büyük dertleri arasında yer almaktadır."
478,O konuda tecrübeli olduğum için sana kesinlikle yurtta kalmayı tavsiye ederim.,Bu konuda tecrübeli olduğum için sana kesinlikle yurtta kalmayı tavsiye ederim.
460,Onları görünce mutlu olurum çünkü demek ki toplumuz ne kadar sağlık önemli oldu farkında oluyor ve sağlığ zararlı davranışlar her gün azalıyor.,Bunları görünce mutlu oluyorum çünkü demek ki toplumumuz sağlığın ne kadar önemli olduğunun farkına varıyor ve sağlığa zararlı davranışlar her gün azalıyor.
389,"Çünkü yaşam yönlerde çesitli sorunlar gelebilir, ne var ki onlara kabul etmeyerek geçmek daha iyi dir.","Çünkü yaşamda çesitli sorunlar ortaya çıkabilir, ne var ki pes etmeyerek onları atlatmak daha iyidir."
420,” Biz de hayallerimizde meslekler söyledik.,” Biz de hayallerimizdeki meslekleri söylüyorduk.
482,Yemek pişirmeyi bitiriken hemen ocak ve fırın kapatabilirsin.,Yemek pişirmeyi bitirince hemen ocak ve fırını kapatmalısın.
390,Demek ki bir insan başarılı olabilmek için yeter ki Sabırlı ve istekli olmalı.,Demek ki bir insan başarılı olabilmek için    sabırlı ve istekli olmalı.
493,Yurda ders çalışmayacaksın çünkü her kişi odada farklı şeyi yapıyor ve bu senin dikatını dağıtıyor.,Yurtta ders çalışamayacaksın çünkü her kişi odada farklı şeyleri yapıyor ve bu senin dikkatini dağıtıyor.
477,– Diğer taraftan gezmek insanın kütürel gelişmesine önemli bir yere sahiptir.,  Diğer taraftan gezmek insanın kültürel gelişiminde önemli bir yere sahiptir.
467,"Sonra sevdiği iş yaparken zor gelmiyor, hiç yorulmuyor ve ruh halinde de olumlu etkileniyor.","Sonra sevdiğin işi yaparken zor gelmiyor, hiç yorulmuyorsun ve ruh halin de olumlu etkileniyor."
443,"Eğer ev tutarsan sadece kendin olacaksın, sessiz ve sakin bir ortamda ders çalışmak fırsatın olacak, aslında ev arkadaşı da bulabilirsin, bu tamamen sana kalmış.","Eğer ev tutarsan tek başına yaşayacaksın, sessiz ve sakin bir ortamda ders çalışma fırsatın olacak, aslında ev arkadaşı da bulabilirsin, bu tamamen sana kaldı."
420,"Bunden dolayı gelir evet önemli ama biz bir işte ne kadar rahatlı olduğumuz ve ne kadar yeni şeyler yapabiliriz, de önemli.",Bundan dolayı gelir   önemli ama bizim bir işte ne kadar rahatlı olduğumuz ve ne kadar çok yeni şeyler yapabildiğimiz de önemli.
865,"Böylece yeni ve farklı diller, diksiyonlar ve kültürler öğrenebiliyorlar ve sonunda farklı insanlardan korkımayacaklar.","Böylece yeni ve farklı dilleri, şiveleri ve kültürleri öğrenebiliyorlar ve bunun sonucu farklı insanlardan korkmuyorlar."
401,Kimse senin iyi ahlak sahip olduğunu ilk bakıştan bilecek ve kimse saddece güzel ya da yakışıklı olduğun için yanında kalacak Hoşgörülük ve ahlak değişik kapsamlarda sana fayda sağlayabilmektedir.,Kimse senin iyi ahlak sahibi olduğunu ilk bakıştan bilmeyecek ve herkes sadece güzel ya da yakışıklı olduğun için yanında kalacak. Hoşgörü ve ahlak değişik kapsamlarda sana fayda sağlayabilmektedir.
392,"Annem üniversite'de mezun oldu, bana göre harika bir adam, arkasında harika bir kadın vardır.","Annem üniversiteden mezun oldu, bana göre harika bir erkeğin arkasında harika bir kadın vardır."
468,"Önce sosyal medya, medyanın parçası değildir ancak bügun dunyada bu medyanın dörduncu parcası olarak bilinir.",Önceden sosyal medya medyanın parçası değildi ancak bügun dünyada   medyanın dördüncü parçası olarak bilinir.
479,"Senin soruna gelince, benim tavsiyem yurttur.",Senin soruna gelince benim tavsiyem yurttur.
402,Toplumun gelişmesi veya toplumun geri kalkmıslığı ahlak ve hoşgürü bağladır.,Toplumun gelişmesi veya toplumun geri kalması ahlak ve hoşgörüye bağlıdır.
427,Ayrıca onların ikisinden bahsedeceğim.,Onların ikisinden ayrı olarak bahsedeceğim.
459,Sosiyal Midiyaya bağımlılık hayatımızda en çok yaşanan sorunlardan biridir.,Sosyal medya bağımlılığı hayatımızda en çok yaşanan sorunlardan biridir.
869,"Başka bir örnek, Yabanci bir şirket, işçiler arıyor ve şartlardan biri en fazla dil bilmesi lazım, masala ben sadece bil dil biliyorum, o zaman firsatımı kaybettım.","Başka bir örnek, yabancı bir şirket işçiler arıyor ve şartlardan biri olabildiğince çok dil bilmek. Mesela ben sadece bir dil dil biliyorum, demek ki firsatımı kaybettim."
456,Ben de kendimi bu şanslı insanlar arasında sayıyorum ve butün bunların öğreten en yakın arkadaşıma sonsuza kadar teşekkür ediyorum.,Ben de kendimi bu şanslı insanların arasında görüyorum ve bütün bunları öğreten en yakın arkadaşıma sonsuza kadar teşekkür ediyorum.
467,"Küçükken hep ʺBüyünce, ne olacağım?","Küçükken hep ""Büyüyünce ne olacağım?"
463,Bunu onların ruhsal bedenine zarar veriyor.,Bu onların ruhsal bedenine zarar veriyor.
863,Dilini bildiğin ülkeye giderken orada rahatça konuşup derdini anlatmak kadar güzel birşey yok.,Dilini bildiğin ülkeye giderken orada rahatça konuşup derdini anlatmak kadar güzel bir şey yok.
437,"Bazıları çok kitap okur, bazıları araştırma yapır, bazıları uzmanlardan ders alır.","Bazıları çok kitap okur, bazıları araştırma yapar, bazıları uzmanlardan ders alır."
484,Metindeki şeyler yüzde yüz inanmamalıyız.,Yazılan şeylere yüzde yüz inanmamalıyız.
484,Sadece kitab okumak yetersizdir.,Sadece kitap okumak yetersizdir.
407,onu baktı pencereden fırsatlara daha açk görünüyor.,Onun baktığı pencereden fırsatlar daha açık görünüyor.
462,"Internetin yaygınlaşması bize hem yardımcı oldu, hem de zarar verdi.",İnternetin yaygınlaşması bize hem yardımcı oldu hem de zarar verdi.
448,Şimdi olumsuz yönlerini anlatayım.,Şimdi yurt dışında yaşamanın olumsuz yönlerini anlatayım.
435,Çünkü gezerken o çok insanlara karsılaşıyor.,Çünkü gezerken o çok insanla karşılaşıyor.
499,Talepnizi için teşekkür ederiz.,Talebiniz için teşekkür ederiz.
413,O insan tabii ki 100% eski gibi olmayacak.,O insan tabii ki %100 eskisi gibi olmayacak.
469,"Kanuni Sultan Sülayman'ın da dediği gibi: ʺOlmaya devlet cihanda, bir nefes sıhhat gibiʺ.","Kanuni Sultan Süleyman'ın da dediği gibi, ʺOlmaya devlet cihanda, bir nefes sıhhat gibi."""
866,O yüzden Dubai'dan bir set altın satın alacağım.,O yüzden Dubai'den bir set altın satın alacağım.
410,Bu nedenle iyi bir eğtim almak çok önemlidir.,Bu nedenle iyi bir eğitim almak çok önemlidir.
867,"Bu yüzenden, hayatta mutlu olmak için, rahat rahat yaşamak için, sevdiğıni mesleği yapmalız.","Bu yüzden hayatta mutlu olmak için, rahat rahat yaşamak için sevdiğimiz mesleği yapmalıyız."
421,Başka olumsuzluklardan biri insanlar sosyal medyada kendi özel hayatını paylaşmasıdır.,Başka olumsuz taraflardan biri insanların sosyal medyada kendi özel hayatını paylaşmasıdır.
392,"Fakat, tilkinın dönüp dolaşacağı yer kürkçü dükkanıdır, ne kadar büyük işlerimizi yaptık, nereden olduğumuzu unutmamalıyız.","Fakat tilkinin dönüp dolaşacağı yer kürkçü dükkanıdır, ne kadar büyük işler yaparsak yapalım nereden geldiğimizi unutmamalıyız."
491,Hatta bu konuya önemi veren ülkeler çok var.,Hatta bu konuya önem veren çok ülke var.
475,Para ile başka şeyler yapabilirsin.,Para ile başka şeyleri yapabilirsin.
461,Peki bu kurallar nedir?,Peki bu kurallar nelerdir?
482,Bildiğim kadarıyla bazı sorunlarla karşıraşabiliyorsun.,Bildiğim kadarıyla bazı sorunlarla karşılaşabiliyorsun.
431,Örneyin bir Arab öğrençisine Türk dilini öğretmek ve öğrenmek zordur.,Örneğin bir Arap öğrencisine Türk dilini öğretmek ve onun bu dili öğrenmesi zordur.
392,Gelecekteki hayatımızda insanlara birbirlerine ihtiyaç var.,Gelecekteki hayatımızda insanların birbirlerine ihtiyacı olur.
416,"Aksi takdirde her şey kendiliginden olma beklediğimiz durumda bir şey değişmeyeceğini, değişse de kötüye değişeceğini düşünüyorum.","Aksi takdirde her şeyin kendiliğinden olacağını beklememiz durumunda bir şeyin değişmeyeceğini, değişse de kötüye değişeceğini düşünüyorum."
863,Önümüzdeki sene İngiliz kursuna ad yazdıracağım ve kurs bittikten sonra diplomayı alıp başka ülkeri gezmeyi planlıyorum.,Önümüzdeki sene İngilizce kursuna adımı yazdıracağım ve kurs bittikten sonra diplomayı alıp başka ülkeleri gezmeyi planlıyorum.
389,Gelecekte bizim yaptığımız gibi sonuç ortaya çıkacak.,Yani gelecekte bizim yaptıklarımızla orantılı sonuçlar ortaya çıkar.
404,Eğer bir televizyon programı yapacak olsaydım yönetici olurdum çünkü yöneticinin mehareti programdan belli olur ve istediğim şekilde izleyiciye pilgiyi ulaştırmaya çalışırım.,Eğer bir televizyon programı yapacak olsaydım yönetmen olurdum çünkü yönetmenin mahareti programdan belli olur ve istediğim şekilde izleyiciye bilgiyi ulaştırmaya çalışırım.
421,Ayrıca sosyal medyanın yüzünden hayatımızdaki en kiymetli şey vaktimiz boşa boşa geçiyor.,Ayrıca sosyal medya yüzünden hayatımızdaki en kıymetli şey olan vaktimiz boşa   gidiyor.
475,"Önce, mimarlık çok güzel ve çok önemli bir bölümdür.","Öncelikle, mimarlık çok güzel ve çok önemli bir bölümdür."
494,"Ben ve o aynı fabrikada iş istiyoruz, gittiğimiz zamanda kimi tarcih edecekler?",Ben ve o aynı fabrikada iş bulmak istiyoruz. Oraya gittiğimiz zaman kimi tercih edecekler?
420,Tabiki sağlığınız tekrar vermeyecek.,Tabii ki sağlığınızı geri vermeyecek.
409,Eğitimli birey tompul için da önemli.,Eğitimli birey toplum için de önemli.
461,Sigara ve Alkol uzak Durun Çok sıradan olsa da sigara ve alkol ciddi anlamda sizin düşmanınız.,Sigara ve alkolden uzak durun Çok sıradan olsa da sigara ve alkol ciddi anlamda sizin düşmanınız.
415,Ya da karşı tarafına iyilik yapa ama kötülük göre.,Ya da karşı tarafa iyilik yapar ama kötülük görürse.
863,Türkçe konuşabildiğim için birçok arkadaş edindim kendime ve aylardır internet üzerinden onlarla konuşup haberleşıyorum.,Türkçe konuşabildiğim için kendime birçok arkadaş edindim ve aylardır internet üzerinden onlarla konuşup haberleşiyorum.
445,Ben 2 yıl dır ailem den uzak yaşıyorum başta zor geliyordu ama zamanla alışıyor insan.,Ben 2 yıldır ailemden uzakta yaşıyorum. Başta zor geliyordu ama zamanla alışıyor insan.
394,"Markete gidip tuz alıyordum, eve döndüken evden az ateş görüyordum komşuma etekleri tutarak gidiyordum.","Markete gidip tuz aldım, eve dönünce evde küçük bir yangın gördüm. Eteklerim tutuşarak komşuma gittim."
452,Ve işleri sevinçle yaptığı için yoğun stresten etkilenmiyor.,Ve işleri sevinçle yaptıkları için yoğun stresten etkilenmiyorlar.
503,Gelecek kuşağınızın sağlık için düşünüyorsanız bunlara dikkat etmelisiniz.,Gelecek kuşağınızın sağlığını   düşünüyorsanız bunlara dikkat etmelisiniz.
865,Yeni şeyler de öğreniyorlar ve yeni insanlarla tanışıyorlar.,Yeni şeyleri de öğreniyorlar ve yeni insanlarla tanışıyorlar.
484,Hiç soru sormıyor.,Hiç soru sormuyor.
411,"Herkese çocukken ne olmak istiyorsun diye sorulur ve her çocuk farklı cevablar verebilir, ama insanlar büyüdükce istekleri ve daha önemli amaçları değışir, ve bu değışimi etkiliğen nedenler var örnek vermk isterstek en başta, kişinin büyüdükçe kendisini ve yeteneklerini tanıması geliriyor eğer bir kişi yeteneklerini iyi tanımasa ve onları geliştirmese gelecekte yanliş bölüm seçerek kendisine zarar verebilir yanış meslek seçimi kişinin piskolojisini bozarak ve onu umutsuz hale getirerek her şeyden geri koyabilir o yüzden herkes universiteye girmeden önce yeteneklerini keşfetmeli ve onları geliştirmelidir.",Herkese çocukken ne olmak istiyorsun diye sorulur ve her çocuk farklı cevaplar verebilir. Ama insanlar büyüdükçe istekleri ve daha önemlisi amaçları değişir ve bu değişimi etkileyen nedenler var. Örnek vermek istersek en başta kişinin büyüdükçe kendisini ve yeteneklerini tanıması gerekiyor. Eğer bir kişi yeteneklerini iyi tanımazsa ve onları geliştirmezse gelecekte yanlış bölüm seçerek kendisine zarar verebilir. Yanlış meslek seçimi kişinin psikolojisini bozarak ve onu umutsuz hale getirerek her şeyden geri koyabilir. O yüzden herkes üniversiteye girmeden önce yeteneklerini keşfetmeli ve onları geliştirmelidir.
480,"İlk önce yabancı dil öğrnmeye üzerinde farklı kültürler tanıtıyoruz ve kendinize geliştiriyoruz, daha ilgili oluyoruz.","İlk önce yabancı dil öğrenerek farklı kültürleri tanıyoruz ve kendimizi geliştiriyoruz, daha ilgili oluyoruz."
482,Bana göre kiralık ev daha iyi ve sakın bir hayat yaşacabilirsin.,Bana göre kiralık evde daha iyi ve sakin bir hayat yaşayabilirsin.
455,hayatın ne kada kısa olduğunu unutuyorlar.,Hayatın ne kadar kısa olduğunu unutuyorlar.
389,Elde bir şey olmak istiyorsak düşünceleri büyük olması lazım.,Bir şey elde etmek istiyorsak düşüncelerimizin büyük olması lazım.
498,Türkiye'ye ilk geldimiz zaman ve şimdi Türkiye'ye ilk geldimiz günler biraz sıkıcıydı.,Türkiye'ye İlk Geldiğimiz Zaman ve Şimdi Türkiye'ye ilk geldiğimiz günler biraz sıkıcıydı.
456,"” O sırada zamanımın hiç boşa gitmesi istemiyorum, hayatta farklı bir gözleriyle bakmaya başlıyorum.","” O sırada zamanımın hiç boşa gitmesini istemiyorum, hayata farklı bir bakışla bakmaya başlıyorum."
470,Peki meslek seçme konusonda ne yapmamız gerekiyor ve nelere göre bir meslek seçmeliyiz?,Peki meslek seçme konusunda ne yapmamız gerekiyor ve nelere göre bir meslek seçmeliyiz?
421,"Ailemize bakmak, ve onların için elimizden geleni yapmak.",Ailemize bakmak ve onlar için elimizden geleni yapmak gibi.
467,ʺ düşünüyordum ama her zaman aklımda sadece bir meslek idi.,ʺ düşünüyordum ama her zaman aklımda sadece bir meslek var idi.
447,Ama bence her sorunun kötünü bulmak lazım ve onun aslı sebeplerini bilmek gereklidir.,Ama bence her sorunun kökünü bulmak lazım ve onun asıl sebeplerini bilmek gereklidir.
400,Eğitim günümüzde önemlidir ama yüzyıldan sonra doha önemli olacak.,Eğitim günümüzde önemlidir ama yüz yıl sonra daha önemli olacak.
462,Günümüzde büyük bir sorun internetteki dolandırıcılığıdır.,Günümüzdeki büyük bir sorun internetteki dolandırıcılıktır.
867,Onun ailesi de stresli olacak.,Onların ailesi de stresli olur.
400,"Öğrenciler için daha kolay olacak, belki daha ucuz.","Öğrenciler için hayat daha kolay olacak, belki daha ucuz."
415,Böyledi ki özelliklerini değiştiriyor.,Böylece   özelliklerini değiştiriyor.
389,Eskiden insanlar günümüzü fırsatlar alamazdı.,Eskiden insanlar günümüzdeki olanaklara sahip değildi.
390,Bu büyük başarı insanın hayatının sonuna kadar devam edebilmek için mutavazi olmalıdır.,Bu büyük başarıyı insan hayatının sonuna kadar devam ettirebilmek için mütevazi olmalıdır.
503,Birinci ve en önemli: Sağlıklı Beslenmek.,"Birincisi ve en önemlisi, sağlıklı beslenmek."
480,Bir insan yabancı dil öğrenmek sadece ʺzenginlikʺ veriyor.,Yabancı dil öğrenmek bir insana sadece ʺzenginlikʺ veriyor.
426,"Aslında bu sözün manası, dil ne kadar önemli olduğunu bize anlatır.","Aslında bu söz, dilin ne kadar önemli olduğunu bize anlatır."
481,Anladım ki farklı bir dili bilmek oldukça önemli ve yarlıdır.,Anladım ki farklı bir dili bilmek oldukça önemli ve yararlıdır.
864,Her şey kolayca yapacaksın.,Her şeyi kolayca yapacaksın.
470,Sonuç olarak meslek seçimi konusonda insan sevdiği mesleği seçmeli ve daha öne gidebilmek için kabiliyetlerini kulanarak çok çalışmalıdır.,Sonuç olarak   insan sevdiği mesleği seçmeli ve daha çok ilerleyebilmek için kabiliyetlerini kullanarak çok çalışmalıdır.
425,"Bir insan ne kadar dil biliyorsa, o kadar farklı ülkelerden gelen insanlarla iletişim kurabilir.",Bir insan ne kadar çok dil biliyorsa o kadar farklı ülkelerden gelen insanlarla iletişim kurabilir.
480,Belki internette iyi bir evi bulacaksın.,Belki internette iyi bir ev bulursun.
459,İnsan Sosiyal Midiya bağımlı olunca hayatını başka bir boyat geçirmiş olur.,İnsan sosyal medya bağımlısı olunca hayatını başka bir boyuta geçirmiş olur.
420,Yanı yanlış bir meslek seçtiğimiz takdirde kendimize: “Ben neden buradayım?,Yani yanlış bir meslek seçtiğimiz takdirde kendimize: “Ben neden buradayım?
869,"Böylece, eğer dili araç olarak kullanırsak, o zaman birden fazla dil bilen insanların avantajlar neler?",Böylece eğer dili araç olarak kullanırsak o zaman birden fazla dil bilen insanların avantajları neler olur
467,"İnsan bu durumdan mutsuz oluyor, ve sağlıklı bir yaşam süremiyor.",İnsan bu durumdan mutsuz oluyor ve sağlıklı bir yaşam süremiyor.
862,"Yaşamayı bilmek, mütlü yaşayabilmek başlı başına bir başarıdır.","Yaşamayı bilmek, mutlu yaşayabilmek başlı başına bir başarıdır."
467,Çünkü mutsuz olunca sadece evde kendıne kapatıyorsun ve hiçbir zaman dışarı çıkmıyorsun.,Çünkü mutsuz olunca kendini sadece eve kapatıyorsun ve hiçbir zaman dışarı çıkmıyorsun.
494,Bence beni tercih edecekler çünkü ben üç insan çalışmadıkları yapabilirim ama sadece bir insan çalışması yapabilir.,Bence beni tercih edecekler çünkü ben tek başıma çalışarak üç insanın yapamadığını yapabilirim.
471,"Üniversitedeki şehirde yalnız yaşıyan bir kız kardeşim var, oda aynı Yaratıcı Üniversitesinde okuyor.","Üniversitenin bulunduğu şehirde yalnız yaşayan bir kız kardeşim var, o da   Yaratıcı Mimarlık Üniversitesinde okuyor."
468,Bize sosyal medyanın zararları anlamak ve onlardan korumak için çalışmalıyız.,Biz sosyal medyanın zararlarını anlamaya ve kendimizi onlardan korumaya   çalışmalıyız.
394,Hayatımızda en önemli şey yapmalıyız.,Hayatımızdaki En Önemli Şeyi Yapmalıyız
479,"Tabii ki evinin olumlaları vardır ama bir öğrenci olarak yurdu seçerdim, çünkü üniveristedeyken derslerimize odaklanmalıyız.",Tabii ki evin olumlu tarafları vardır ama bir öğrenci olarak yurdu seçerdim çünkü üniversitedeyken derslerimize odaklanmalıyız.
473,"İnglizce ve Almanca iyi biliyorsun, bu yüzden başka bir ülkede öğrenmek ve yaşamak senin için sorun olmaz.","İngilizce ve Almancayı iyi biliyorsun, bu yüzden başka bir ülkede okumak ve yaşamak senin için sorun olmaz."
484,Görmek inanmaktır Kitab olmak ve farklı yer veya ülke gitmek bence ikisi da önemli ve insanlara fayda verebilir.,"Görmek İnanmaktır Kitap okumak ve farklı yerlere veya ülkelere gitmek, bence ikisi de önemli ve insanlara fayda sağlayabilir."
474,"Çünkü senin için eğitim ücreti uygun ve şöyle yapabilirsin: Hafta sonlarında şehrine gidebilirsin, diğer üniversiteler ile yurt dışında toplantı katılabilirsin ve ne istediğin kadar bu üniversitede yapabilirsin.","Çünkü eğitim ücreti senin için uygun ve şöyle yapabilirsin: Hafta sonları şehrine gidebilirsin, diğer üniversiteler ile yurt dışındaki toplantılara katılabilirsin ve   bu üniversitede istediğin şeyleri yapabilirsin."
410,"Eitin bize hayatta nasıl yaşamamız gerektığını, anne, babalarımıza, öğretmenimiza, arkadaşlarımıza nasıl davranmamızı öğretiyor.","Eğitim   hayatı nasıl yaşamamız gerektiğini, anne babalarımıza, öğretmenimize, arkadaşlarımıza nasıl davranacağımızı öğreniyoruz."
428,Çünkü benim karakterime ev daha uygundur.,Çünkü ev benim karakterime daha uygundur.
406,"En kötü meslek ise temizliktir, çünkü zor bir iş, insanların çöpü toplamak zor bir iş, onların durumuna acıyorum, ama çalışmak zorundalar ve başka çareleri yoktur.","En kötü meslek ise temizlik işidir çünkü zor bir iş. İnsanların çöpünü toplamak zor bir iş, onların durumuna acıyorum ama çalışmak zorundalar ve başka çareleri yoktur."
862,Eğer çalışıyor sak var gücümüzle çalışmalıyız fakat bunun karşılığında tatil zamanı gelip çattığında güzel ve sakin kafa ile bir tatil yapmalıyız.,Eğer çalışıyorsak var gücümüzle çalışmalıyız fakat bunun karşılığında tatil zamanı gelip çattığında güzel ve sakin kafa ile bir tatil yapmalıyız.
389,"Çağdaş dünyada, herkes ister istemez her şey yapabılir.",Çağdaş dünyada herkes ister istemez her şey yapabilir.
438,Üniversitesi okurken evde kalıyordum bir kişiyle yaşıyordum çok zor evimiz her zaman temiz değil onunla her zaman kavka çıkar.,Üniversitede okurken evde kalıyordum. Bir kişiyle yaşıyordum. Çok zordu. Evimiz her zaman temiz değildi beraber kaldığım kişiyle her zaman kavga çıkardı.
437,Kısa zaman içinde bam başka bir ömür yaşabilirsin.,Kısa zaman içinde bambaşka bir ömür yaşayabilirsin.
482,"Mesela, okul ders bittikten sonra eve dönüp biraz dinlenebilirsin ve öğle yemeği hazırlamaya başlabilirsin.","Mesela,   ders bittikten sonra eve dönüp biraz dinlenebilirsin ve öğle yemeği hazırlamaya başlayabilirsin."
396,Onlar kendilerini kibir değil bu yüzden başarılı oldular.,"Onlar kendileri kibirli değil, bu yüzden başarılı oldular."
481,Ben de yabancı bir dilin ne kadar önemli olduğunu kaleme alacağım.,Ben de yabancı   dilin ne kadar önemli olduğunu kaleme alacağım.
415,Hiç bir zamanda değişilmez.,Hiçbir zaman değişmez.
427,Günümüzde birçok insan var ve insan türü farklıdır.,Günümüzde birçok insan var ve insan türleri farklıdır.
491,Ama mutlaka her toplumda diller ile uğraşyanlar var olmalı ve kesenlikle onlar yeni dil öğrenmesi ne güzel olduğunu biliyor.,Ama mutlaka her toplumda diller ile uğraşanlar vardır ve kesinlikle onlar yeni dil öğrenmenin   güzel olduğunu biliyor.
450,İstersem de istemezsem de öleceğim ve herkes cennete gitmek istiyor.,İstesem de istemesem  de öleceğim ve herkes cennete gitmek istiyor.
419,Htta zengin olmak isteyen sevdiği meslek seçmeli çünkü o mesleğinde çok başarılı olacaktır böylece bütün insanlar o meslekle ilgili ondan yardım isteyecektir.,"Hatta zengin olmak isteyen bir kişi de sevdiği mesleği seçmeli çünkü o mesleğinde çok başarılı olacaktır, böylece bütün insanlar o meslekle ilgili ondan yardım isteyecektir."
415,İnsanlar da dünya geldiğinden beri hep değişiyorlar.,İnsanlar da dünyaya geldiğinden beri hep değişiyorlar.
400,"Teknolojik gelişmeleri daha iyi olacak, bence tüm teknolojiler daha kolay inşatcı için.","Teknolojik gelişmeler daha iyi olacak, bence tüm teknolojiler inşaatçıların hayatını kolaylaştıracak."
390,Aksine insanların eleştirmesini kabul edilmeli.,Aksine insanların eleştirisini kabul ederdi.
394,"Çocukken her Cuma günü babam, bana ʺFakir insanlara yardım vermelisinʺ dedi.","Çocukken her cuma günü babam bana ʺFakir insanlara yardım etmelisin."" diyordu."
462,Kişisel bilgilerimizi bir siteye girerken çok dikkatlı olmalıyız Bu bilgiler başka bir amaç da kullanabiliyor.,Kişisel bilgilerimizi bir siteye girerken çok dikkatli olmalıyız. Bu bilgiler başka bir amaç için de kullanılabiliyor.
869,"Diyelim ki ben Afrika'dan Türkiye'ye geldim ve dilimden başka bir dil bilmiyorum ve ben havaalanından yurduma gitmeliyim, ne kadar benim için zor olabileceğini tahmin edebiliriz.",Diyelim ki ben Afrika'dan Türkiye'ye geldim ve dilimden başka bir dil bilmiyorum ve ben havaalanından yurduma gitmeliyim. Benim için ne kadar zor olabileceğini tahmin edebilirsinizdir.
449,Cünkü amacın yolunda gitmedi.,Cünkü amacının peşinden koşmadı.
494,Günümüzde yabancı dil örgremek çok önemlidir.,Günümüzde yabancı dil öğrenmek çok önemlidir.
440,Ama yurtun da dezavantajlarını sana söylemek isterim.,Ama yurdun dezavantajlarını da sana söylemek isterim.
450,bilmiyorum ama bileceğim.,Bilmiyorum ama öğreneceğim.
406,"insanlar mutlaka çalışma ve özel hayatları arasındaki dengeyi sağlamalılardır, Bu şey nazıl olur, İnsanın vakti düzenlemekte olur, herşeye hakkı vermek ve vakti ayrılmakla dengeyi sağlamış olur.",İnsanlar mutlaka iş ve özel hayatları arasındaki dengeyi sağlamalılardır. Bu şey nasıl mümkün olur? İnsanın vaktini düzenlemesiyle olur. İnsan her şeye hakkını vererek ve vaktini ayırarak dengeyi sağlamış olur.
418,Bende de herkes gibi geleceğime ait çok güzel planlarım var.,Benim de herkesin gibi geleceğime dair çok güzel planlarım var.
433,Çünkü yurtta daha fazla işlerle meşgul olmazsın ve vakit kaybetmezsin.,Çünkü yurtta   fazla işle meşgul olmazsın ve vakit kaybetmezsin.
452,Onlar iş yerlerinde mutsuz olurlar ve işleri sevinç ile yapmıyorlar.,Onlar iş yerlerinde mutsuz olurlar ve işleri sevinç ile yazmazlar.
415,Kötü kalblı da kötükalplıdır.,Kötü kalpli da kötü kalplidir.
